period,region_code,region,in_migrants_total,out_migrants_total,net_migration,within_sido_within_sigungu,within_sido_between_sigungu_in,within_sido_between_sigungu_out,between_sido_in,between_sido_out,source_status,source_table
202605,00,전국,466180,466180,0,162120,140859,140859,163201,163201,official_kosis,DT_1B26001_A01
202605,11,서울특별시,95905,100126,-4221,25004,38802,38802,32099,36320,official_kosis,DT_1B26001_A01
202605,26,부산광역시,27214,27621,-407,7601,11755,11755,7858,8265,official_kosis,DT_1B26001_A01
202605,27,대구광역시,22480,22204,276,6203,9394,9394,6883,6607,official_kosis,DT_1B26001_A01
202605,28,인천광역시,28617,27380,1237,9212,7893,7893,11512,10275,official_kosis,DT_1B26001_A01
202605,29,광주광역시,14045,14184,-139,4627,4907,4907,4511,4650,official_kosis,DT_1B26001_A01
202605,30,대전광역시,13975,13462,513,3793,4172,4172,6010,5497,official_kosis,DT_1B26001_A01
202605,31,울산광역시,8178,8824,-646,2629,2762,2762,2787,3433,official_kosis,DT_1B26001_A01
202605,36,세종특별자치시,3361,3475,-114,1246,0,0,2115,2229,official_kosis,DT_1B26001_A01
202605,41,경기도,130658,128225,2433,49371,40042,40042,41245,38812,official_kosis,DT_1B26001_A01
202605,43,충청북도,15284,14184,1100,7046,1847,1847,6391,5291,official_kosis,DT_1B26001_A01
202605,44,충청남도,19491,18207,1284,7296,3068,3068,9127,7843,official_kosis,DT_1B26001_A01
202605,46,전라남도,12644,13001,-357,4747,2735,2735,5162,5519,official_kosis,DT_1B26001_A01
202605,47,경상북도,18906,19569,-663,7455,3272,3272,8179,8842,official_kosis,DT_1B26001_A01
202605,48,경상남도,22910,23300,-390,10708,4336,4336,7866,8256,official_kosis,DT_1B26001_A01
202605,50,제주특별자치도,5741,5968,-227,3057,559,559,2125,2352,official_kosis,DT_1B26001_A01
202605,51,강원특별자치도,12950,12408,542,5526,2222,2222,5202,4660,official_kosis,DT_1B26001_A01
202605,52,전북특별자치도,13821,14042,-221,6599,3093,3093,4129,4350,official_kosis,DT_1B26001_A01
