period,region_code,region,in_migrants_total,out_migrants_total,net_migration,within_sido_within_sigungu,within_sido_between_sigungu_in,within_sido_between_sigungu_out,between_sido_in,between_sido_out,source_status,source_table
202512,00,전국,528010,528010,0,181513,159342,159342,187155,187155,official_kosis,DT_1B26001_A01
202512,11,서울특별시,104923,109810,-4887,26096,43500,43500,35327,40214,official_kosis,DT_1B26001_A01
202512,26,부산광역시,30927,31742,-815,8870,13042,13042,9015,9830,official_kosis,DT_1B26001_A01
202512,27,대구광역시,24309,25063,-754,7366,9764,9764,7179,7933,official_kosis,DT_1B26001_A01
202512,28,인천광역시,29422,27738,1684,8963,7870,7870,12589,10905,official_kosis,DT_1B26001_A01
202512,29,광주광역시,12992,15015,-2023,4088,4511,4511,4393,6416,official_kosis,DT_1B26001_A01
202512,30,대전광역시,16672,17807,-1135,4856,5387,5387,6429,7564,official_kosis,DT_1B26001_A01
202512,31,울산광역시,10537,11075,-538,3373,3671,3671,3493,4031,official_kosis,DT_1B26001_A01
202512,36,세종특별자치시,4438,5049,-611,1682,0,0,2756,3367,official_kosis,DT_1B26001_A01
202512,41,경기도,139429,134775,4654,51085,41707,41707,46637,41983,official_kosis,DT_1B26001_A01
202512,43,충청북도,22765,18912,3853,8325,4807,4807,9633,5780,official_kosis,DT_1B26001_A01
202512,44,충청남도,21052,20402,650,7747,3567,3567,9738,9088,official_kosis,DT_1B26001_A01
202512,46,전라남도,16958,16057,901,5871,3874,3874,7213,6312,official_kosis,DT_1B26001_A01
202512,47,경상북도,23762,24653,-891,10175,4049,4049,9538,10429,official_kosis,DT_1B26001_A01
202512,48,경상남도,27677,27813,-136,12717,5341,5341,9619,9755,official_kosis,DT_1B26001_A01
202512,50,제주특별자치도,6678,6720,-42,3686,739,739,2253,2295,official_kosis,DT_1B26001_A01
202512,51,강원특별자치도,16194,15899,295,7295,2707,2707,6192,5897,official_kosis,DT_1B26001_A01
202512,52,전북특별자치도,19275,19480,-205,9318,4806,4806,5151,5356,official_kosis,DT_1B26001_A01
202601,00,전국,568310,568310,0,181918,174475,174475,211917,211917,official_kosis,DT_1B26001_A01
202601,11,서울특별시,120719,120824,-105,27268,49607,49607,43844,43949,official_kosis,DT_1B26001_A01
202601,26,부산광역시,35933,36777,-844,9703,15488,15488,10742,11586,official_kosis,DT_1B26001_A01
202601,27,대구광역시,26338,26589,-251,6929,10649,10649,8760,9011,official_kosis,DT_1B26001_A01
202601,28,인천광역시,30085,28802,1283,8459,8259,8259,13367,12084,official_kosis,DT_1B26001_A01
202601,29,광주광역시,14720,15859,-1139,4347,4996,4996,5377,6516,official_kosis,DT_1B26001_A01
202601,30,대전광역시,18958,19064,-106,4794,6015,6015,8149,8255,official_kosis,DT_1B26001_A01
202601,31,울산광역시,11484,12096,-612,3541,3983,3983,3960,4572,official_kosis,DT_1B26001_A01
202601,36,세종특별자치시,5523,6156,-633,2034,0,0,3489,4122,official_kosis,DT_1B26001_A01
202601,41,경기도,151964,146611,5353,53303,45873,45873,52788,47435,official_kosis,DT_1B26001_A01
202601,43,충청북도,17541,16898,643,7387,2510,2510,7644,7001,official_kosis,DT_1B26001_A01
202601,44,충청남도,22727,22635,92,7665,4076,4076,10986,10894,official_kosis,DT_1B26001_A01
202601,46,전라남도,16233,16312,-79,5392,3868,3868,6973,7052,official_kosis,DT_1B26001_A01
202601,47,경상북도,24634,26167,-1533,9514,4791,4791,10329,11862,official_kosis,DT_1B26001_A01
202601,48,경상남도,29165,29770,-605,12073,6143,6143,10949,11554,official_kosis,DT_1B26001_A01
202601,50,제주특별자치도,7449,8104,-655,4006,756,756,2687,3342,official_kosis,DT_1B26001_A01
202601,51,강원특별자치도,16457,16677,-220,6761,3113,3113,6583,6803,official_kosis,DT_1B26001_A01
202601,52,전북특별자치도,18380,18969,-589,8742,4348,4348,5290,5879,official_kosis,DT_1B26001_A01
202602,00,전국,614712,614712,0,186663,186442,186442,241607,241607,official_kosis,DT_1B26001_A01
202602,11,서울특별시,137348,133121,4227,29676,54851,54851,52821,48594,official_kosis,DT_1B26001_A01
