period,origin_code,origin,destination_code,destination,people,male,female,age_0_14,age_0_14_male,age_0_14_female,age_15_24,age_15_24_male,age_15_24_female,age_25_39,age_25_39_male,age_25_39_female,age_40_54,age_40_54_male,age_40_54_female,age_55_64,age_55_64_male,age_55_64_female,age_65_plus,age_65_plus_male,age_65_plus_female,level,source_status,source_endpoint
202605,1100000000,서울특별시,1100000000,서울특별시,63987,30558,33429,4828,2444,2384,5632,2475,3157,27179,12995,14184,12784,6372,6412,6592,3259,3333,6972,3013,3959,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,1100000000,서울특별시,2600000000,부산광역시,913,449,464,18,4,14,141,68,73,484,257,227,131,72,59,70,26,44,69,22,47,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,1100000000,서울특별시,2700000000,대구광역시,681,331,350,29,18,11,115,44,71,326,174,152,102,57,45,47,22,25,62,16,46,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,1100000000,서울특별시,2800000000,인천광역시,3401,1699,1702,170,85,85,354,163,191,1533,765,768,609,319,290,340,200,140,395,167,228,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,1100000000,서울특별시,2900000000,광주광역시,553,278,275,18,12,6,95,47,48,263,133,130,72,40,32,48,23,25,57,23,34,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,1100000000,서울특별시,3000000000,대전광역시,828,452,376,29,17,12,185,98,87,413,235,178,110,58,52,48,27,21,43,17,26,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,1100000000,서울특별시,3100000000,울산광역시,282,155,127,11,8,3,47,25,22,136,71,65,44,24,20,28,18,10,16,9,7,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,1100000000,서울특별시,3600000000,세종특별자치시,296,144,152,16,7,9,53,25,28,126,54,72,48,27,21,31,20,11,22,11,11,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,1100000000,서울특별시,4100000000,경기도,22229,10941,11288,1319,671,648,1957,872,1085,9485,4742,4743,4112,2202,1910,2506,1250,1256,2850,1204,1646,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,1100000000,서울특별시,4300000000,충청북도,930,469,461,33,17,16,157,72,85,401,199,202,115,68,47,107,64,43,117,49,68,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,1100000000,서울특별시,4400000000,충청남도,1418,722,696,52,27,25,221,102,119,529,282,247,260,146,114,161,76,85,195,89,106,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,1100000000,서울특별시,4600000000,전라남도,659,342,317,19,10,9,92,43,49,246,122,124,110,62,48,89,58,31,103,47,56,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,1100000000,서울특별시,4700000000,경상북도,940,488,452,38,18,20,161,86,75,387,200,187,135,85,50,100,47,53,119,52,67,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,1100000000,서울특별시,4800000000,경상남도,846,420,426,34,18,16,144,62,82,412,215,197,105,52,53,83,45,38,68,28,40,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,1100000000,서울특별시,5000000000,제주특별자치도,534,271,263,35,18,17,78,35,43,206,103,103,113,60,53,65,37,28,37,18,19,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,1100000000,서울특별시,5100000000,강원특별자치도,1225,638,587,32,20,12,249,123,126,444,243,201,211,101,110,141,80,61,148,71,77,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,1100000000,서울특별시,5200000000,전북특별자치도,715,378,337,28,8,20,90,46,44,256,139,117,119,69,50,106,60,46,116,56,60,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2600000000,부산광역시,1100000000,서울특별시,1194,568,626,24,10,14,267,86,181,638,329,309,120,80,40,64,30,34,81,33,48,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2600000000,부산광역시,2600000000,부산광역시,19390,9484,9906,1478,737,741,1978,913,1065,7219,3644,3575,3846,1964,1882,2360,1135,1225,2509,1091,1418,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2600000000,부산광역시,2700000000,대구광역시,381,186,195,19,6,13,106,45,61,165,93,72,41,19,22,26,13,13,24,10,14,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2600000000,부산광역시,2800000000,인천광역시,239,127,112,6,1,5,40,22,18,109,57,52,47,30,17,17,9,8,20,8,12,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2600000000,부산광역시,2900000000,광주광역시,84,53,31,0,0,0,19,11,8,41,24,17,11,11,0,8,5,3,5,2,3,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2600000000,부산광역시,3000000000,대전광역시,160,88,72,7,6,1,35,16,19,78,42,36,24,13,11,10,8,2,6,3,3,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2600000000,부산광역시,3100000000,울산광역시,636,378,258,25,17,8,115,58,57,282,169,113,104,68,36,51,36,15,59,30,29,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2600000000,부산광역시,3600000000,세종특별자치시,47,23,24,2,1,1,12,6,6,15,9,6,8,4,4,6,1,5,4,2,2,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2600000000,부산광역시,4100000000,경기도,1095,608,487,36,19,17,202,97,105,491,290,201,177,114,63,93,55,38,96,33,63,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2600000000,부산광역시,4300000000,충청북도,171,97,74,0,0,0,35,18,17,76,45,31,31,20,11,17,7,10,12,7,5,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2600000000,부산광역시,4400000000,충청남도,182,104,78,9,5,4,32,17,15,78,48,30,27,13,14,20,13,7,16,8,8,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2600000000,부산광역시,4600000000,전라남도,164,104,60,2,1,1,21,14,7,51,32,19,36,25,11,31,17,14,23,15,8,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2600000000,부산광역시,4700000000,경상북도,583,327,256,13,10,3,108,52,56,237,142,95,93,51,42,67,37,30,65,35,30,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2600000000,부산광역시,4800000000,경상남도,2965,1612,1353,146,72,74,459,225,234,1109,638,471,511,285,226,358,207,151,382,185,197,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2600000000,부산광역시,5000000000,제주특별자치도,171,83,88,8,2,6,35,16,19,62,33,29,34,20,14,15,5,10,17,7,10,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2600000000,부산광역시,5100000000,강원특별자치도,108,56,52,1,1,0,18,5,13,49,33,16,17,8,9,15,7,8,8,2,6,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2600000000,부산광역시,5200000000,전북특별자치도,102,62,40,1,0,1,25,14,11,38,26,12,19,13,6,3,1,2,16,8,8,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2700000000,대구광역시,1100000000,서울특별시,938,452,486,20,12,8,270,101,169,455,245,210,95,44,51,50,28,22,48,22,26,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2700000000,대구광역시,2600000000,부산광역시,381,207,174,16,5,11,86,48,38,186,103,83,44,26,18,29,15,14,20,10,10,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2700000000,대구광역시,2700000000,대구광역시,15618,7681,7937,1497,774,723,1665,726,939,5616,2890,2726,3246,1619,1627,1869,960,909,1725,712,1013,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2700000000,대구광역시,2800000000,인천광역시,149,78,71,9,4,5,33,15,18,69,39,30,22,13,9,7,4,3,9,3,6,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2700000000,대구광역시,2900000000,광주광역시,57,32,25,6,4,2,14,7,7,21,11,10,11,9,2,2,1,1,3,0,3,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2700000000,대구광역시,3000000000,대전광역시,190,105,85,7,2,5,46,26,20,101,60,41,15,7,8,12,8,4,9,2,7,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2700000000,대구광역시,3100000000,울산광역시,202,118,84,3,0,3,42,24,18,114,69,45,19,12,7,12,9,3,12,4,8,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2700000000,대구광역시,3600000000,세종특별자치시,46,24,22,6,2,4,8,5,3,18,11,7,10,4,6,3,1,2,1,1,0,sido,official_mois,ppltnDataStus/selectPpltnDataStus
