period,origin_code,origin,destination_code,destination,people,male,female,level,source_status,source_endpoint
202605,1100000000,서울특별시,1100000000,서울특별시,63987,30558,33429,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,1100000000,서울특별시,2600000000,부산광역시,913,449,464,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,1100000000,서울특별시,2700000000,대구광역시,681,331,350,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,1100000000,서울특별시,2800000000,인천광역시,3401,1699,1702,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,1100000000,서울특별시,2900000000,광주광역시,553,278,275,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,1100000000,서울특별시,3000000000,대전광역시,828,452,376,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,1100000000,서울특별시,3100000000,울산광역시,282,155,127,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,1100000000,서울특별시,3600000000,세종특별자치시,296,144,152,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,1100000000,서울특별시,4100000000,경기도,22229,10941,11288,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,1100000000,서울특별시,4300000000,충청북도,930,469,461,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,1100000000,서울특별시,4400000000,충청남도,1418,722,696,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,1100000000,서울특별시,4600000000,전라남도,659,342,317,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,1100000000,서울특별시,4700000000,경상북도,940,488,452,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,1100000000,서울특별시,4800000000,경상남도,846,420,426,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,1100000000,서울특별시,5000000000,제주특별자치도,534,271,263,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,1100000000,서울특별시,5100000000,강원특별자치도,1225,638,587,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,1100000000,서울특별시,5200000000,전북특별자치도,715,378,337,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2600000000,부산광역시,1100000000,서울특별시,1194,568,626,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2600000000,부산광역시,2600000000,부산광역시,19390,9484,9906,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2600000000,부산광역시,2700000000,대구광역시,381,186,195,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2600000000,부산광역시,2800000000,인천광역시,239,127,112,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2600000000,부산광역시,2900000000,광주광역시,84,53,31,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202605,2600000000,부산광역시,3000000000,대전광역시,160,88,72,sido,official_mois,ppltnDataStus/selectPpltnDataStus
