period,origin_code,origin,destination_code,destination,people,male,female,age_0_14,age_0_14_male,age_0_14_female,age_15_24,age_15_24_male,age_15_24_female,age_25_39,age_25_39_male,age_25_39_female,age_40_54,age_40_54_male,age_40_54_female,age_55_64,age_55_64_male,age_55_64_female,age_65_plus,age_65_plus_male,age_65_plus_female,level,source_status,source_endpoint
202210,1100000000,서울특별시,2600000000,부산광역시,715,379,336,32,19,13,89,41,48,341,195,146,122,67,55,58,26,32,73,31,42,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202210,1100000000,서울특별시,2700000000,대구광역시,495,256,239,33,15,18,78,39,39,215,118,97,96,54,42,40,21,19,33,9,24,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202210,1100000000,서울특별시,2800000000,인천광역시,3289,1702,1587,285,153,132,312,153,159,1366,733,633,695,381,314,320,157,163,311,125,186,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202210,1100000000,서울특별시,2900000000,광주광역시,393,210,183,18,12,6,58,23,35,173,104,69,80,43,37,41,22,19,23,6,17,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202210,1100000000,서울특별시,3000000000,대전광역시,670,357,313,36,21,15,113,58,55,296,161,135,107,61,46,56,28,28,62,28,34,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202210,1100000000,서울특별시,3100000000,울산광역시,245,139,106,19,8,11,33,16,17,115,70,45,46,32,14,19,8,11,13,5,8,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202210,1100000000,서울특별시,3600000000,세종특별자치시,282,141,141,29,18,11,19,10,9,100,41,59,69,44,25,35,15,20,30,13,17,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202210,1100000000,서울특별시,4100000000,경기도,21314,10599,10715,1747,905,842,1868,899,969,8488,4283,4205,4354,2277,2077,2386,1163,1223,2471,1072,1399,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202210,1100000000,서울특별시,4300000000,충청북도,803,420,383,31,17,14,92,45,47,308,170,138,156,86,70,111,53,58,105,49,56,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202210,1100000000,서울특별시,4400000000,충청남도,1216,642,574,72,36,36,153,79,74,439,242,197,235,131,104,166,84,82,151,70,81,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202210,1100000000,서울특별시,4600000000,전라남도,591,298,293,25,13,12,73,34,39,178,88,90,115,65,50,104,62,42,96,36,60,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202210,1100000000,서울특별시,4700000000,경상북도,750,421,329,36,22,14,102,57,45,291,175,116,127,70,57,103,50,53,91,47,44,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202210,1100000000,서울특별시,4800000000,경상남도,652,346,306,39,15,24,87,47,40,263,146,117,134,78,56,69,39,30,60,21,39,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202210,1100000000,서울특별시,5000000000,제주특별자치도,513,255,258,38,19,19,56,34,22,187,96,91,141,69,72,59,28,31,32,9,23,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202210,1100000000,서울특별시,5100000000,강원도,1272,632,640,79,40,39,157,83,74,419,203,216,226,118,108,189,98,91,202,90,112,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202210,1100000000,서울특별시,5200000000,전라북도,720,366,354,38,25,13,95,45,50,217,115,102,161,79,82,96,54,42,113,48,65,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202210,2600000000,부산광역시,1100000000,서울특별시,1119,582,537,43,27,16,233,93,140,591,339,252,137,69,68,73,39,34,42,15,27,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202210,2600000000,부산광역시,2700000000,대구광역시,302,141,161,30,15,15,42,14,28,132,65,67,57,30,27,18,8,10,23,9,14,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202210,2600000000,부산광역시,2800000000,인천광역시,201,109,92,14,7,7,39,25,14,87,42,45,33,19,14,15,12,3,13,4,9,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202210,2600000000,부산광역시,2900000000,광주광역시,55,27,28,8,3,5,6,4,2,26,8,18,5,4,1,8,7,1,2,1,1,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202210,2600000000,부산광역시,3000000000,대전광역시,133,84,49,3,2,1,32,14,18,70,49,21,16,12,4,8,5,3,4,2,2,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202210,2600000000,부산광역시,3100000000,울산광역시,534,297,237,20,8,12,75,35,40,242,153,89,94,55,39,46,26,20,57,20,37,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202210,2600000000,부산광역시,3600000000,세종특별자치시,33,18,15,3,3,0,3,2,1,17,9,8,2,0,2,6,4,2,2,0,2,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202210,2600000000,부산광역시,4100000000,경기도,1010,576,434,51,29,22,132,68,64,469,302,167,190,115,75,89,40,49,79,22,57,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202210,2600000000,부산광역시,4300000000,충청북도,116,71,45,12,7,5,14,9,5,44,29,15,25,18,7,10,3,7,11,5,6,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202210,2600000000,부산광역시,4400000000,충청남도,191,126,65,10,4,6,25,18,7,91,66,25,36,24,12,18,10,8,11,4,7,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202210,2600000000,부산광역시,4600000000,전라남도,180,103,77,10,7,3,24,14,10,55,34,21,41,25,16,27,12,15,23,11,12,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202210,2600000000,부산광역시,4700000000,경상북도,523,296,227,28,14,14,58,32,26,215,126,89,97,58,39,62,37,25,63,29,34,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202210,2600000000,부산광역시,4800000000,경상남도,2726,1445,1281,191,107,84,284,146,138,956,519,437,571,308,263,360,206,154,364,159,205,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202210,2600000000,부산광역시,5000000000,제주특별자치도,128,67,61,8,3,5,14,8,6,50,28,22,31,15,16,17,9,8,8,4,4,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202210,2600000000,부산광역시,5100000000,강원도,118,70,48,9,8,1,18,11,7,46,26,20,20,11,9,15,8,7,10,6,4,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202210,2600000000,부산광역시,5200000000,전라북도,89,57,32,9,4,5,8,5,3,35,23,12,14,9,5,13,8,5,10,8,2,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202210,2700000000,대구광역시,1100000000,서울특별시,758,394,364,23,11,12,180,73,107,407,236,171,83,45,38,36,17,19,29,12,17,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202210,2700000000,대구광역시,2600000000,부산광역시,307,147,160,16,7,9,53,22,31,154,77,77,48,27,21,18,11,7,18,3,15,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202210,2700000000,대구광역시,2800000000,인천광역시,130,78,52,1,1,0,21,14,7,55,36,19,25,17,8,14,5,9,14,5,9,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202210,2700000000,대구광역시,2900000000,광주광역시,41,21,20,5,2,3,8,5,3,14,7,7,7,4,3,2,1,1,5,2,3,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202210,2700000000,대구광역시,3000000000,대전광역시,156,82,74,8,6,2,35,17,18,78,41,37,16,7,9,12,6,6,7,5,2,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202210,2700000000,대구광역시,3100000000,울산광역시,174,108,66,3,2,1,38,18,20,85,60,25,21,13,8,16,10,6,11,5,6,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202210,2700000000,대구광역시,3600000000,세종특별자치시,55,24,31,9,5,4,4,2,2,29,13,16,7,3,4,1,0,1,5,1,4,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202210,2700000000,대구광역시,4100000000,경기도,850,508,342,50,28,22,176,97,79,361,251,110,142,84,58,73,26,47,48,22,26,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202210,2700000000,대구광역시,4300000000,충청북도,110,65,45,3,2,1,20,11,9,51,32,19,20,13,7,7,4,3,9,3,6,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202210,2700000000,대구광역시,4400000000,충청남도,149,83,66,12,6,6,32,20,12,53,32,21,30,16,14,12,5,7,10,4,6,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202210,2700000000,대구광역시,4600000000,전라남도,61,32,29,3,1,2,11,9,2,25,12,13,17,9,8,2,0,2,3,1,2,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202210,2700000000,대구광역시,4700000000,경상북도,2485,1326,1159,116,52,64,343,177,166,898,494,404,492,269,223,373,211,162,263,123,140,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202210,2700000000,대구광역시,4800000000,경상남도,490,263,227,30,15,15,61,31,30,161,89,72,117,63,54,62,38,24,59,27,32,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202210,2700000000,대구광역시,5000000000,제주특별자치도,90,45,45,5,4,1,20,9,11,25,14,11,26,10,16,11,6,5,3,2,1,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202210,2700000000,대구광역시,5100000000,강원도,116,61,55,9,4,5,19,10,9,49,29,20,25,13,12,7,3,4,7,2,5,sido,official_mois,ppltnDataStus/selectPpltnDataStus
202210,2700000000,대구광역시,5200000000,전라북도,67,36,31,2,1,1,12,7,5,26,14,12,15,10,5,10,4,6,2,0,2,sido,official_mois,ppltnDataStus/selectPpltnDataStus
