origin,destination,people,reason_group,source_status,period,origin_code,destination_code
경기도,경기도,89565,population_movement,official_mois,202605,4100000000,4100000000
서울특별시,서울특별시,63987,population_movement,official_mois,202605,1100000000,1100000000
서울특별시,경기도,22229,population_movement,official_mois,202605,1100000000,4100000000
부산광역시,부산광역시,19390,population_movement,official_mois,202605,2600000000,2600000000
경기도,서울특별시,18020,population_movement,official_mois,202605,4100000000,1100000000
인천광역시,인천광역시,17139,population_movement,official_mois,202605,2800000000,2800000000
대구광역시,대구광역시,15618,population_movement,official_mois,202605,2700000000,2700000000
경상남도,경상남도,15066,population_movement,official_mois,202605,4800000000,4800000000
경상북도,경상북도,10737,population_movement,official_mois,202605,4700000000,4700000000
충청남도,충청남도,10385,population_movement,official_mois,202605,4400000000,4400000000
전북특별자치도,전북특별자치도,9713,population_movement,official_mois,202605,5200000000,5200000000
광주광역시,광주광역시,9549,population_movement,official_mois,202605,2900000000,2900000000
충청북도,충청북도,8897,population_movement,official_mois,202605,4300000000,4300000000
대전광역시,대전광역시,7972,population_movement,official_mois,202605,3000000000,3000000000
강원특별자치도,강원특별자치도,7769,population_movement,official_mois,202605,5100000000,5100000000
전라남도,전라남도,7496,population_movement,official_mois,202605,4600000000,4600000000
울산광역시,울산광역시,5397,population_movement,official_mois,202605,3100000000,3100000000
경기도,인천광역시,5274,population_movement,official_mois,202605,4100000000,2800000000
인천광역시,경기도,4518,population_movement,official_mois,202605,2800000000,4100000000
제주특별자치도,제주특별자치도,3625,population_movement,official_mois,202605,5000000000,5000000000
서울특별시,인천광역시,3401,population_movement,official_mois,202605,1100000000,2800000000
경상북도,대구광역시,3219,population_movement,official_mois,202605,4700000000,2700000000
경기도,충청남도,3089,population_movement,official_mois,202605,4100000000,4400000000
부산광역시,경상남도,2965,population_movement,official_mois,202605,2600000000,4800000000
경상남도,부산광역시,2861,population_movement,official_mois,202605,4800000000,2600000000
인천광역시,서울특별시,2642,population_movement,official_mois,202605,2800000000,1100000000
대구광역시,경상북도,2514,population_movement,official_mois,202605,2700000000,4700000000
충청남도,경기도,2420,population_movement,official_mois,202605,4400000000,4100000000
경기도,강원특별자치도,2027,population_movement,official_mois,202605,4100000000,5100000000
전라남도,광주광역시,2012,population_movement,official_mois,202605,4600000000,2900000000
광주광역시,전라남도,1947,population_movement,official_mois,202605,2900000000,4600000000
경기도,충청북도,1886,population_movement,official_mois,202605,4100000000,4300000000
강원특별자치도,경기도,1685,population_movement,official_mois,202605,5100000000,4100000000
충청북도,경기도,1484,population_movement,official_mois,202605,4300000000,4100000000
서울특별시,충청남도,1418,population_movement,official_mois,202605,1100000000,4400000000
경상북도,경기도,1267,population_movement,official_mois,202605,4700000000,4100000000
세종특별자치시,세종특별자치시,1246,population_movement,official_mois,202605,3600000000,3600000000
서울특별시,강원특별자치도,1225,population_movement,official_mois,202605,1100000000,5100000000
경기도,경상북도,1214,population_movement,official_mois,202605,4100000000,4700000000
부산광역시,서울특별시,1194,population_movement,official_mois,202605,2600000000,1100000000
충청남도,서울특별시,1188,population_movement,official_mois,202605,4400000000,1100000000
경기도,대전광역시,1146,population_movement,official_mois,202605,4100000000,3000000000
경상남도,경기도,1120,population_movement,official_mois,202605,4800000000,4100000000
강원특별자치도,서울특별시,1097,population_movement,official_mois,202605,5100000000,1100000000
부산광역시,경기도,1095,population_movement,official_mois,202605,2600000000,4100000000
충청남도,대전광역시,1007,population_movement,official_mois,202605,4400000000,3000000000
전북특별자치도,경기도,982,population_movement,official_mois,202605,5200000000,4100000000
경기도,경상남도,976,population_movement,official_mois,202605,4100000000,4800000000
대전광역시,충청남도,967,population_movement,official_mois,202605,3000000000,4400000000
대전광역시,서울특별시,944,population_movement,official_mois,202605,3000000000,1100000000
경기도,전북특별자치도,942,population_movement,official_mois,202605,4100000000,5200000000
서울특별시,경상북도,940,population_movement,official_mois,202605,1100000000,4700000000
대구광역시,서울특별시,938,population_movement,official_mois,202605,2700000000,1100000000
대전광역시,경기도,932,population_movement,official_mois,202605,3000000000,4100000000
